GENUS$,SPECIES$,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
Trichilia,pallida,Meliaceae,0.573,0.054078,16.7,50.9,0.139,0.103,0.040,1591,26.8,22.2,15.1,1336,0.042,0.035,0.0126,358,18.6,11.4,8.2,281
Trichilia,tuberculata,Meliaceae,0.692,0.109507,29.3,57.8,0.099,0.075,0.027,39824,21.0,18.8,14.7,32273,0.037,0.029,0.0113,7745,25.8,18.6,12.4,6425
Triplaris,cumingiana,Polygonaceae,0.529,-99.000000,28.1,40.8,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.048,0.033,0.0116,598,11.1,8.9,5.5,472
Trophis,caucana,Moraceae,0.475,0.025370,12.0,40.8,0.158,0.118,0.049,520,54.7,43.2,32.2,488,0.033,0.03,0.0079,144,31.6,21.4,19.3,114
Trophis,racemosa,Moraceae,0.631,-99.000000,18.4,45.1,0.105,0.076,0.024,959,19.7,18.5,14.7,789,0.028,0.019,0.0048,156,36.4,32.8,23.5,136
Turpinia,occidentalis,Staphyleacea,0.407,0.004135,22.6,38.4,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.079,0.061,0.0213,221,44.4,30.8,22.3,184
Unonopsis,pittieri,Annonaceae,0.428,0.724820,22.2,50.3,0.16,0.121,0.047,1728,30.3,25.0,19.3,1484,0.046,0.035,0.0141,709,19.4,15.1,9.3,557
Virola,sebifera,Myristicacea,0.487,0.111661,30.5,60.1,0.143,0.106,0.041,4593,22.9,18.9,13.9,4024,0.048,0.036,0.0138,2684,24.2,17.0,11.2,2181
Virola,surinamensis,Myristicacea,0.407,1.580256,37.3,49.5,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.065,0.049,0.0192,619,20.9,13.5,8.8,520
Xylopia,macrantha,Annonaceae,0.840,0.116775,19.8,67.0,0.142,0.116,0.053,3241,10.2,8.0,5.8,2502,0.037,0.031,0.0130,574,6.7,5.7,4.0,424
Xylosma,oligandra,Flacourtiace,-99.000,-99.000000,8.5,40.2,0.104,0.082,0.029,425,24.4,20.6,18.4,380,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Zanthoxylum,acuminatum,Rutaceae,0.579,-99.000000,23.2,68.6,0.206,0.167,0.063,393,34.7,31.0,22.9,350,0.068,0.052,0.0218,131,69.2,53.8,32.1,106
