taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6173532	Junco hyemalis caniceps (Woodhouse, 1853)	6173532	Junco hyemalis caniceps (Woodhouse, 1853)	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Junco	2492009	Junco hyemalis	9362842	
5232452	Branta hutchinsii (Richardson, 1832)	5232452	Branta hutchinsii (Richardson, 1832)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Branta	2498190	Branta hutchinsii	5232452	LC
6180235	Dendragapus obscurus pallidus Swarth, 1931	6180235	Dendragapus obscurus pallidus Swarth, 1931	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Dendragapus	2473587	Dendragapus obscurus	9428437	
5231630	Acanthis flammea (Linnaeus, 1758)	5231630	Acanthis flammea (Linnaeus, 1758)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Acanthis	6782561	Acanthis flammea	5231630	LC
2480911	Botaurus lentiginosus (Rackett, 1813)	2480911	Botaurus lentiginosus (Rackett, 1813)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Botaurus	2480909	Botaurus lentiginosus	2480911	LC
6175508	Leucosticte tephrocotis littoralis S.F.Baird, 1869	6175508	Leucosticte tephrocotis littoralis S.F.Baird, 1869	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Leucosticte	2494358	Leucosticte tephrocotis	2494360	
2480538	Buteo platypterus (Vieillot, 1823)	2480538	Buteo platypterus (Vieillot, 1823)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo platypterus	2480538	LC
10708159	Cairina moschata var. domestica	10708159	Cairina moschata var. domestica	1	VARIETY		Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cairina	2498282	Cairina moschata	9751099	
2490268	Anthus spragueii (Audubon, 1844)	2490268	Anthus spragueii (Audubon, 1844)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Anthus	2490241	Anthus spragueii	2490268	VU
4848480	Larus smithsonianus Coues, 1862	4848480	Larus smithsonianus Coues, 1862	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus smithsonianus	4848480	LC
5231677	Mimus polyglottos (Linnaeus, 1758)	5231677	Mimus polyglottos (Linnaeus, 1758)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Mimus	2494919	Mimus polyglottos	5231677	LC
7853540	Buteo plagiatus (Schlegel, 1862)	6066240	Buteo nitidus plagiatus (Schlegel, 1862)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo nitidus	2480556	
2491757	Amphispiza bilineata (Cassin, 1850)	2491757	Amphispiza bilineata (Cassin, 1850)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Amphispiza	2491750	Amphispiza bilineata	2491757	LC
2498136	Anas diazi Ridgway, 1886	2498136	Anas diazi Ridgway, 1886	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas diazi	2498136	
